기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
2006.04 ,서울시,11.6,16.2,22.2,7.7,2.9,51.8,55,10,1011,2,5.9,136,3,9.1
2006.05 ,서울시,18.4,23.4,28.3,14,10.8,156.2,57,13,1012.1,9,5.2,199.1,2.5,8.6
2006.06 ,서울시,21.8,26.3,32.4,18.1,14.1,168.5,68,21,1007.1,15.1,6.1,155.8,2.2,8
2006.07 ,서울시,23.1,26,30.1,20.9,17.5,1014,82,43,1006.1,19.8,8.7,34.3,2.3,9.2
2006.08 ,서울시,27,31.1,34.7,23.9,20.8,121.2,69,34,1008.4,20.6,5.4,177.1,2.1,7.6
2006.09 ,서울시,21.1,25.7,30.3,16.9,11.3,11.1,58,19,1014.8,12.1,4.7,195.7,2.1,7.1
2006.10 ,서울시,17.9,22.6,27.5,13.9,7.9,30.2,62,11,1018.8,10.2,3.2,185.2,2,8.5
2006.11 ,서울시,8.4,12.4,20.2,4.5,-1.3,47.6,58,14,1020.1,-0.1,4.3,153.5,2.4,8.1
2006.12 ,서울시,1.4,5.4,12.6,-2,-12.3,17.3,59,16,1026.7,-6.4,3.7,159.4,2.1,7.2
2007.01 ,서울시,0.4,4.1,11.8,-2.8,-7.6,10.8,56,18,1026.5,-7.8,3.5,181.9,2,8
2007.02 ,서울시,4,8.7,14.8,0.1,-8.6,12.6,53,13,1021.3,-5.6,3.3,171.5,2.3,8.6
2007.03 ,서울시,6.1,10.3,16.2,2.3,-7.6,123.5,60,15,1018.1,-1.9,5.2,147.1,2.7,10
2007.04 ,서울시,11.4,16.1,22.5,7.5,1.6,41.1,53,14,1016,1.2,4.8,191.8,2.8,9.4
