date,Year,Month,heatindex
20080711,2008 여름,7,28.28
20080712,2008 여름,7,24.5
20080713,2008 여름,7,25.84
20080714,2008 여름,7,28.98
20080715,2008 여름,7,30.49
20080716,2008 여름,7,25.08
20080717,2008 여름,7,25.17
20080718,2008 여름,7,26.05
20080719,2008 여름,7,23.98
20080720,2008 여름,7,24.57
20080721,2008 여름,7,23.02
20080722,2008 여름,7,24.53
20080723,2008 여름,7,24.03
20080724,2008 여름,7,22.37
20080725,2008 여름,7,23.34
20080726,2008 여름,7,22.1
20080727,2008 여름,7,24.95
20080728,2008 여름,7,28.79
20080729,2008 여름,7,30.5
20080730,2008 여름,7,26.16
20080731,2008 여름,7,26.53
20080801,2008 여름,8,30.35
20080802,2008 여름,8,26.03
20080803,2008 여름,8,25.51
20080804,2008 여름,8,25.32
20080805,2008 여름,8,26.22
20080806,2008 여름,8,29.63
20080807,2008 여름,8,30.4
20080808,2008 여름,8,31.97
20080809,2008 여름,8,30.76
20080810,2008 여름,8,32.87
20080811,2008 여름,8,31.02
20080812,2008 여름,8,25.41
20080813,2008 여름,8,29.7
20080814,2008 여름,8,29.76
20080815,2008 여름,8,25.9
20080816,2008 여름,8,21.67
20080817,2008 여름,8,23.93
20080818,2008 여름,8,23.03
20080819,2008 여름,8,23.91
20080820,2008 여름,8,23.02
20080821,2008 여름,8,23.32
20080822,2008 여름,8,18.22
20080823,2008 여름,8,21.36
20080824,2008 여름,8,23.43
20080825,2008 여름,8,24.32
20080826,2008 여름,8,24.15
20080827,2008 여름,8,23.77
20080828,2008 여름,8,24.49
20080829,2008 여름,8,25.18
20080830,2008 여름,8,25.69
20080831,2008 여름,8,25.09
20090601,2009 여름,6,21.44
20090602,2009 여름,6,22.03
20090603,2009 여름,6,19.29
20090604,2009 여름,6,21.08
20090605,2009 여름,6,22.22
20090606,2009 여름,6,22.22
20090607,2009 여름,6,19.28
20090608,2009 여름,6,20.7
20090609,2009 여름,6,19.78
20090610,2009 여름,6,18.87
20090611,2009 여름,6,20.9
20090612,2009 여름,6,19.57
20090613,2009 여름,6,19.96
20090614,2009 여름,6,20.54
20090615,2009 여름,6,21.55
20090616,2009 여름,6,21.71
20090617,2009 여름,6,21.18
20090618,2009 여름,6,24.68
20090619,2009 여름,6,25.07
20090620,2009 여름,6,22.8
20090621,2009 여름,6,25.12
20090622,2009 여름,6,22.99
20090623,2009 여름,6,23.18
20090624,2009 여름,6,24.44
20090625,2009 여름,6,24.91
20090626,2009 여름,6,24.42
20090627,2009 여름,6,25.82
20090628,2009 여름,6,25.96
20090629,2009 여름,6,26.18
20090630,2009 여름,6,24.65
20090701,2009 여름,7,23.5
20090702,2009 여름,7,20.85
20090703,2009 여름,7,22.27
20090704,2009 여름,7,22.86
20090705,2009 여름,7,24.44
20090706,2009 여름,7,24.98
20090707,2009 여름,7,24.91
20090708,2009 여름,7,26.14
20090709,2009 여름,7,22.33
20090710,2009 여름,7,23.68
20090711,2009 여름,7,24.6
20090712,2009 여름,7,20.8
20090713,2009 여름,7,23.1
20090714,2009 여름,7,23.12
20090715,2009 여름,7,22.82
20090716,2009 여름,7,26.49
20090717,2009 여름,7,25.06
20090718,2009 여름,7,25.31
20090719,2009 여름,7,24.4
20090720,2009 여름,7,25.45
20090721,2009 여름,7,25.51
20090722,2009 여름,7,25.16
20090723,2009 여름,7,25.33
20090724,2009 여름,7,25.01
20090725,2009 여름,7,22.51
20090726,2009 여름,7,24.39
20090727,2009 여름,7,24.82
20090728,2009 여름,7,24.62
20090729,2009 여름,7,25.44
20090730,2009 여름,7,26.53
20090731,2009 여름,7,28.33
20090801,2009 여름,8,25.56
20090802,2009 여름,8,25.74
20090803,2009 여름,8,25.12
20090804,2009 여름,8,28.24
20090805,2009 여름,8,28.22
20090806,2009 여름,8,27.76
20090807,2009 여름,8,25.59
20090808,2009 여름,8,26.48
20090809,2009 여름,8,31.18
20090810,2009 여름,8,29
20090811,2009 여름,8,24.14
20090812,2009 여름,8,23.3
20090813,2009 여름,8,26.2
20090814,2009 여름,8,29.33
20090815,2009 여름,8,29.49
20090816,2009 여름,8,30.56
20090817,2009 여름,8,27.96
20090818,2009 여름,8,29.75
20090819,2009 여름,8,30.57
20090820,2009 여름,8,26.43
20090821,2009 여름,8,25.01
20090822,2009 여름,8,25.23
20090823,2009 여름,8,25.83
20090824,2009 여름,8,25.68
20090825,2009 여름,8,24.53
20090826,2009 여름,8,23.95
20090827,2009 여름,8,24.16
20090828,2009 여름,8,24.39
20090829,2009 여름,8,22.09
20090830,2009 여름,8,20.55
20090831,2009 여름,8,22.39
20100601,2010 여름,6,18.98
20100602,2010 여름,6,20.78
20100603,2010 여름,6,21.18
20100604,2010 여름,6,22.2
20100605,2010 여름,6,23.23
20100606,2010 여름,6,24.85
20100607,2010 여름,6,25.58
20100608,2010 여름,6,25.68
20100609,2010 여름,6,26.08
20100610,2010 여름,6,26.98
20100611,2010 여름,6,25.72
20100612,2010 여름,6,18.06
20100613,2010 여름,6,21.68
20100614,2010 여름,6,22.76
20100615,2010 여름,6,24.54
20100616,2010 여름,6,22.33
20100617,2010 여름,6,23.8
20100618,2010 여름,6,26.14
20100619,2010 여름,6,23.12
20100620,2010 여름,6,23.05
20100621,2010 여름,6,22.1
20100622,2010 여름,6,21.81
20100623,2010 여름,6,22.86
20100624,2010 여름,6,24.25
20100625,2010 여름,6,26.54
20100626,2010 여름,6,25.16
20100627,2010 여름,6,21.82
20100628,2010 여름,6,24.44
20100629,2010 여름,6,23.92
20100630,2010 여름,6,22.92
20100701,2010 여름,7,25.89
20100702,2010 여름,7,25.07
20100703,2010 여름,7,24.07
20100704,2010 여름,7,26.44
20100705,2010 여름,7,26.16
20100706,2010 여름,7,25.85
20100707,2010 여름,7,25.51
20100708,2010 여름,7,24.76
20100709,2010 여름,7,24.69
20100710,2010 여름,7,25.39
20100711,2010 여름,7,23.99
20100712,2010 여름,7,24.97
20100713,2010 여름,7,26.04
20100714,2010 여름,7,24.88
20100715,2010 여름,7,25.91
20100716,2010 여름,7,23.8
20100717,2010 여름,7,23.03
20100718,2010 여름,7,25.82
20100719,2010 여름,7,26.63
20100720,2010 여름,7,30.45
20100721,2010 여름,7,30.45
20100722,2010 여름,7,29.48
20100723,2010 여름,7,24.57
20100724,2010 여름,7,25.57
20100725,2010 여름,7,26.08
20100726,2010 여름,7,25.42
20100727,2010 여름,7,28.9
20100728,2010 여름,7,28.73
20100729,2010 여름,7,29.08
20100730,2010 여름,7,29.11
20100731,2010 여름,7,29.39
20100801,2010 여름,8,30.64
20100802,2010 여름,8,30.28
20100803,2010 여름,8,28.83
20100804,2010 여름,8,30.73
